Theme,Song,Album Era,Lyric
Body Parts,Call it What You Want,reputation,"I want to wear his initial / On a chain round my neck, chain round my neck"
Body Parts,New Year's Day,reputation,You squeeze my hand three times in the back of the taxi / I can tell that it's gonna be a long road
Body Parts,Welcome to New York,1989,"When we first dropped our bags on apartment floors / Took our broken hearts, put them in a drawer"
Body Parts,Blank Space,1989,"Saw you there and I thought / ""Oh, my God, look at that face / You look like my next mistake / Love's a game, wanna play?"" Ay"
Body Parts,Blank Space,1989,Grab your passport and my hand / I can make the bad guys good for a weekend
Body Parts,Blank Space,1989,"Cherry lips, crystal skies"
Body Parts,Style,1989,"You got that long hair, slicked back, white T-shirt / And I got that good girl faith and a tight little skirt"
Body Parts,Style,1989,Cause you got that James Dean daydream look in your eye / And I got that red lip classic thing that you like
Body Parts,Style,1989,"Hey, all you had to do was stay / Had me in the palm of your hand / Then why'd you have to go and lock me out when I let you in?"
Body Parts,Style,1989,"So it goes / He can't keep his wild eyes on the road, mm"
Body Parts,Shake it off,1989,"And to the fella over there with the hella good hair / Won't you come on over, baby?"
Body Parts,I Wish You Would,1989,"2 A.M., here we are / See your face / Hear my voice in the dark"
Body Parts,Wildest Dreams,1989,Red lips and rosy cheeks / Say you'll see me again
Body Parts,Wildest Dreams,1989,"I said, ""No one has to know what we do"" / His hands are in my hair, his clothes are in my room"
Body Parts,This Love,1989,These hands had to let it go free
Body Parts,This Love,1989,"Your kiss, my cheek / I watched you leave"
Body Parts,This Love,1989,"Your smile, my ghost / I fell to my knees"
Body Parts,How You Get The Girl,1989,"I would wait for ever and ever / Broke your heart, I'll put it back together"
Body Parts,How You Get The Girl,1989,"Remind her how it used to be, be / Yeah, with pictures in frames of kisses on cheeks, cheeks"
Body Parts,I Know Places,1989,You stand with your hand on my waistline
Body Parts,I Know Places,1989,Loose lips sink ships all the damn time / Not this time
Body Parts,I Know Places,1989,Just grab my hand and don't ever drop it / My love
Body Parts,I Know Places,1989,"(I) in the dead of night, your eyes so green / I know places"
Body Parts,Clean,1989,"The water filled my lungs, I screamed so loud / But no one heard a thing"
Body Parts,Wonderland,1989,I felt your arms twisting around me / I should have slept with one eye open at night
Body Parts,You Are In Love,1989,"And your shoulders brush / No proof, one touch"
Body Parts,You Are In Love,1989,One night he wakes / Strange look on his face
Body Parts,New Romantics,1989,Heartbreak is the national anthem / We sing it proudly
Body Parts,New Romantics,1989,It's poker / He can't see it in my face / But I'm about to play my Ace (ah)
Body Parts,New Romantics,1989,We're all here / The lights and noise are blinding
Body Parts,Eyes Open,Red,Even when you're sleeping / Keep your ey-eyes open
Body Parts,Eyes Open,Red,Keep your feet ready / Heartbeat steady
Body Parts,Safe and Sound ,Red,I remember tears streaming down your face / When I said I'll never let you go
Body Parts,State of Grace,Red,"Up in your room and our slates are clean / Just twin fire signs, four blue eyes"
Body Parts,State of Grace,Red,We learn to live with the pain / Mosaic broken hearts
Body Parts,State of Grace,Red,These are the hands of fate
Body Parts,State of Grace,Red,You're my Achilles heel
Body Parts,Red,Red,When I still see it all in my head / In burning red
Body Parts,Treacherous,Red,Put your lips close to mine / As long as they don't touch
Body Parts,Treacherous,Red,"Out of focus, eye to eye / 'Til the gravity's too much"
Body Parts,Treacherous,Red,And I'll do anything you say / If you say it with your hands
Body Parts,Treacherous,Red,All we are is skin and bone / Trained to get along / Forever going with the flow / But you're friction
Body Parts,All Too Well,Red,"Wind in my hair, you were there, you remember it all"
Body Parts,The Last Time,Red,And you open your eyes into mine / And everything feels better
Body Parts,The Last Time,Red,And right before your eyes / I'm breaking
Body Parts,The Last Time,Red,"You break my heart in the blink of an eye, eye, eye"
Body Parts,The Last Time,Red,And right before your eyes / I'm aching
Body Parts,Holy Ground,Red,But sometimes I wonder how you think about it now / And I see your face in every crowd
Body Parts,Everything Has Changed,Red,Since eighteen hours ago / Is green eyes and freckles and your smile
Body Parts,Everything Has Changed,Red,"And all I feel in my stomach is butterflies, the beautiful kind"
Body Parts,Everything Has Changed,Red,"All I know is a new found grace / All my days, I'll know your face"
Body Parts,Begin Again,Red,And you throw your head back laughing / Like a little kid
Body Parts,The Moment I knew,Red,"You should've been there / Should've burst through the door / With that ""Baby, I'm right here"" smile"
Body Parts,Ronan,Red,I remember your bare feet down the hallway
Body Parts,Ronan,Red,I remember your blue eyes looking into mine / Like we had our own secret club
Body Parts,Ronan,Red,"I can still feel you hold my hand, little man / And even the moment I knew"
Body Parts,Ronan,Red,I remember the last day when I kissed your face / And whispered in your ear
Body Parts,Better Man,Red,But I know why we had to say goodbye like the back of my hand
Body Parts,Babe,Red,"Taking down the pictures and the plans we made, yeah / And it's strange how your face doesn't look so innocent"
Body Parts,Babe,Red,"Her lips on your neck (oh-oh), I can't unsee it (oh-oh)"
Body Parts,Nothing New,Red,How long will it be cute / All this crying in my room / Whеn you can't blame it on my youth / And roll your eyes with affеction?
Body Parts,Nothing New,Red,And my cheeks are growing tired / From turning red and faking smiles
Body Parts,Message In A Bottle,Red,By freckles and bright eyes / Tongue-tied
Body Parts,Message In A Bottle,Red,"Feelin' like a face in the crowd / I'm reachin' for you, terrified"
Body Parts,Forever Winter,Red,"He seems fine most of the time, forcing smiles and neverminds"
Body Parts,Run,Red,We can go where our eyes can take us
Body Parts,Run,Red,I could see this view a hundred times / Pale blue sky reflected in your eyes
Body Parts,Run,Red,There's a heart on your sleeve / I'll take it when I leave / And hold it for you
Body Parts,The Very First Night,Red,I never go alone and I don't seem broken-hearted
Body Parts,The Very First Night,Red,"We broke the status quo, then we broke each other's hearts"
Body Parts,All Too Well (10 Minute Version),Red,From when your Brooklyn broke my skin and bones / I'm a soldier who's returning half her weight
Body Parts,All Too Well (10 Minute Version),Red,"Wind in my hair, you were there, you remember it all"
Body Parts,Mine,Speak Now,"Do you remember, we were sittin', there by the water? / You put your arm around me for the first time"
Body Parts,Mine,Speak Now,"And I remember that fight, two-thirty am / 'Cause everything was slipping right out of our hands"
Body Parts,Sparks Fly,Speak Now,"Take away the pain / 'Cause I see sparks fly, whenever you smile"
Body Parts,Sparks Fly,Speak Now,"Get me with those green eyes, baby, as the lights go down / I run my fingers through your hair and watch the lights go wild / Just keep on keeping your eyes on me, it's just wrong enough to make it feel right"
Body Parts,Back To December,Speak Now,"I miss your tan skin, your sweet smile, so good to me, so right"
Body Parts,Back To December,Speak Now,And how you held me in your arms that September night / The first time you ever saw me cry
Body Parts,Speak Now,Speak Now,"I stand up with shaky hands, all eyes on me / Horrified looks from everyone in the room / But I'm only looking at you"
Body Parts,Dear John,Speak Now,"All the girls that you've run dry / Have tired, lifeless eyes"
Body Parts,The Story of Us,Speak Now,The battle's in your hands now / But I would lay my armor down
Body Parts,Never Grow Up,Speak Now,Your little hands wrapped around my finger / Your little eyelids flutter cause you're dreaming
Body Parts,Enchanted,Speak Now,"There I was again tonight / Forcing laughter, faking smiles"
Body Parts,Enchanted,Speak Now,"Your eyes whispered, ""Have we met?"""
Body Parts,Better than Revenge,Speak Now,"I'm just another thing for you to roll your eyes at honey / You might have him, but haven't you heard"
Body Parts,Haunted,Speak Now,"Oh, I'm holding my breath / Won't lose you again / Something's made your eyes go cold"
Body Parts,Last Kiss,Speak Now,"That July ninth, the beat of your heart / It jumps through your shirt / I can still feel your arms"
Body Parts,Last Kiss,Speak Now,"I'm not much for dancing, but for you, I did / Because I love your handshake, meeting my father"
Body Parts,Last Kiss,Speak Now,I love how you walk with your hands in your pockets / How you'd kiss me when I was in the middle of saying something
Body Parts,Haunted,Speak Now,He will try to take away my pain / And he just might make me smile / But the whole time I'm wishing he was you instead
Body Parts,Long Live,Speak Now,The time we stood with our shaking hands / The crowds in stands went wild
Body Parts,Long Live,Speak Now,You held your head like a hero on a history book page / It was the end of a decade / But the start of an age
Body Parts,Ours,Speak Now,Lurking in the shadows with their lip gloss smiles / But I don't care 'cause right now you're mine
Body Parts,Ours,Speak Now,Cause I love the gap between your teeth / And I love the riddles that you speak
